"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"IC1";"SOIC127P600X175-16N";1;"VNH7070ASTR";;;
2;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uf";;;
3;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
4;"R3,R1,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"100";;;
5;"J3";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
